47.32506,2251.014,1705.05
-123.3638,2255.502,1593.49
-136.4122,2258.343,1764.066
-106.1032,2249.348,1889.991
-15.79988,2249.51,1948.789
-15.79988,2249.51,1948.789
69.94398,2249.879,1957.596
92.4775,2250.179,1912.534
74.48663,2249.492,1813.193
-33.87933,2248.88,1813.2
569.6389,2259.353,2268.798
54.81387,2250.96,1709.769
35.95295,2250.483,1705.842
24.56342,2249.715,1705.646
13.95221,2249.526,1699.89
14.35886,2250.275,1683.488
17.78365,2250.883,1673.132
25.82028,2250.036,1637.79
33.80312,2250.259,1597.864
42.04662,2250.784,1567.093
40.69924,2250.811,1500.829
36.74606,2250.695,1474.894
25.89036,2251.223,1356.3
12.13785,2251.369,1320.567
2.847626,2251.442,1302.526
-50.85909,2250.939,1222.563
-80.40245,2252.279,1193.149
-106.92,2252.055,1171.138
-141.9648,2251.506,1154.091
-169.5327,2251.395,1139.871
-319.0968,2252.065,1114.537
-370.5916,2252.57,1105.932
-564.318,2253.444,1091.071
-673.5115,2252.704,1085.664
-680.457,2252.445,1084.074
-687.9743,2252.389,1071.784
-697.2883,2251.762,1049.96
-702.0212,2251.831,1043.896
-865.2133,2250.265,996.6013
-927.929,2252.21,975.0427
-989.5142,2251.391,951.2502
-1029.701,2251.067,953.73
-1065.725,2250.878,969.3997
-1086.241,2250.94,1003.114
-1106.863,2250.172,1208.617
-1109.317,2250.09,1252.136
-1108.319,2250.299,1266.809
-1101.406,2250.365,1284.006
-1079.256,2249.872,1296.102
-828.7238,2249.507,1433.583
-739.3973,2250.531,1490.326
-728.2778,2250.57,1500.589
-460.7889,2246.872,1733.381
-257.5599,2249.847,1910.806
-253.053,2249.417,1936.103
-257.3079,2249.283,1963.048
-259.1626,2249.559,1987.87
-256.6538,2249.742,1999.781
-255.8499,2249.863,2009.998
-251.6359,2250.075,2020.942
-249.0988,2250.17,2024.3
-221.1472,2250.689,2059.808
-204.7895,2250.607,2065.79
-199.6009,2250.548,2077.827
-190.9544,2250.452,2094.182
-182.2633,2250.306,2121.728
-177.1581,2250.396,2187.09
-161.5701,2249.043,2303.061
-79.30225,2247.592,3067.152
-68.78699,2246.837,3089.643
-29.6777,2246.471,3113.802
8.414719,2247.904,3109.632
29.64063,2248.231,3110.091
73.42894,2246.959,3089.526
104.7708,2247.186,3052.559
124.0041,2248.048,3023.164
142.037,2247.517,2968.457
154.8823,2248.452,2911.626
153.596,2247.352,2806.717
150.4704,2248.506,2722.985
117.226,2248.718,2360.799
77.99025,2250.003,1934.678
71.00179,2250.122,1863.231
56.5935,2251.023,1706.857
40.39217,2250.879,1704.206
33.02286,2250.249,1706.438
